"","replicate","var","timeseries length","Trend strength","AR strength","method","Value"
"353",10,"p","30","no trend","no AR","gls",0.641875786117534
"354",10,"p","30","no trend","strong AR","gls",0.94518863637147
"355",10,"p","30","strong trend","medium AR","gls",2.90399344908802e-13
"356",10,"p","30","strong trend","no AR","gls",2.87562340898471e-11
"357",10,"p","30","strong trend","strong AR","gls",0.001448906817328
"358",10,"p","30","weak trend","medium AR","gls",0.077036038081218
"359",10,"p","30","weak trend","no AR","gls",0.857553149027267
"360",10,"p","30","weak trend","strong AR","gls",0.827459786682555
"361",11,"p","10","medium trend","medium AR","gls",0.0974806246814364
"362",11,"p","10","medium trend","no AR","gls",0.488595009919308
"363",11,"p","10","medium trend","strong AR","gls",0.708395093867076
"364",11,"p","10","no trend","medium AR","gls",0.0180610953765667
"365",11,"p","10","no trend","no AR","gls",0.849097832761529
"366",11,"p","10","no trend","strong AR","gls",0.290145888850708
"367",11,"p","10","strong trend","medium AR","gls",0.991906745707004
"368",11,"p","10","strong trend","no AR","gls",0.0327578493380709
"369",11,"p","10","strong trend","strong AR","gls",0.346149795825437
"370",11,"p","10","weak trend","medium AR","gls",0.0206832641595879
"371",11,"p","10","weak trend","no AR","gls",0.904058297648574
"372",11,"p","10","weak trend","strong AR","gls",0.314415477754377
"373",11,"p","20","medium trend","medium AR","gls",0.378257509536511
"374",11,"p","20","medium trend","no AR","gls",0.0177559467583189
"375",11,"p","20","medium trend","strong AR","gls",0.0854248145008127
"376",11,"p","20","no trend","medium AR","gls",0.927380058280787
"377",11,"p","20","no trend","no AR","gls",0.772116192977191
"378",11,"p","20","no trend","strong AR","gls",0.187519912382151
"379",11,"p","20","strong trend","medium AR","gls",0.0381750759652651
"380",11,"p","20","strong trend","no AR","gls",8.17595197785777e-07
"381",11,"p","20","strong trend","strong AR","gls",0.0780844537086281
"382",11,"p","20","weak trend","medium AR","gls",0.992664639475614
"383",11,"p","20","weak trend","no AR","gls",0.641890308716978
"384",11,"p","20","weak trend","strong AR","gls",0.8178996054802
"385",11,"p","30","medium trend","medium AR","gls",0.202434754865701
"386",11,"p","30","medium trend","no AR","gls",0.000602281781852465
"387",11,"p","30","medium trend","strong AR","gls",0.0234486417030612
"388",11,"p","30","no trend","medium AR","gls",0.800084101938371
"389",11,"p","30","no trend","no AR","gls",0.94271950808731
"390",11,"p","30","no trend","strong AR","gls",0.121812422332132
"391",11,"p","30","strong trend","medium AR","gls",0.00691688804309368
"392",11,"p","30","strong trend","no AR","gls",5.13815545637603e-12
"393",11,"p","30","strong trend","strong AR","gls",0.00265074064207038
"394",11,"p","30","weak trend","medium AR","gls",0.905128857161464
"395",11,"p","30","weak trend","no AR","gls",0.716185180935733
"396",11,"p","30","weak trend","strong AR","gls",0.10511906780075
"397",12,"p","10","medium trend","medium AR","gls",0.122445808339034
"398",12,"p","10","medium trend","no AR","gls",0.55010402728409
"399",12,"p","10","medium trend","strong AR","gls",0.210914901458705
"400",12,"p","10","no trend","medium AR","gls",0.373099366376648
"401",12,"p","10","no trend","no AR","gls",0.256923945057442
"402",12,"p","10","no trend","strong AR","gls",0.31080372599852
"403",12,"p","10","strong trend","medium AR","gls",0.0103840502277163
"404",12,"p","10","strong trend","no AR","gls",0.646164620548915
"405",12,"p","10","strong trend","strong AR","gls",0.257626924925484
"406",12,"p","10","weak trend","medium AR","gls",0.344966010970513
"407",12,"p","10","weak trend","no AR","gls",0.274416403925471
"408",12,"p","10","weak trend","strong AR","gls",0.491687216418675
"409",12,"p","20","medium trend","medium AR","gls",0.0551733831750383
"410",12,"p","20","medium trend","no AR","gls",0.243625291610558
"411",12,"p","20","medium trend","strong AR","gls",0.00890240224255687
"412",12,"p","20","no trend","medium AR","gls",0.57187676471656
"413",12,"p","20","no trend","no AR","gls",0.781126494501539
"414",12,"p","20","no trend","strong AR","gls",0.0661414049994396
"415",12,"p","20","strong trend","medium AR","gls",0.00186381811420278
"416",12,"p","20","strong trend","no AR","gls",0.000652701153396804
"417",12,"p","20","strong trend","strong AR","gls",0.00105150511178187
"418",12,"p","20","weak trend","medium AR","gls",0.489800969536208
"419",12,"p","20","weak trend","no AR","gls",0.870287239647778
"420",12,"p","20","weak trend","strong AR","gls",0.055247864625111
"421",12,"p","30","medium trend","medium AR","gls",0.13491565690458
"422",12,"p","30","medium trend","no AR","gls",0.0176724324883558
"423",12,"p","30","medium trend","strong AR","gls",0.0515038750699107
"424",12,"p","30","no trend","medium AR","gls",0.28157285120022
"425",12,"p","30","no trend","no AR","gls",0.846675468643837
"426",12,"p","30","no trend","strong AR","gls",0.571758966741755
"427",12,"p","30","strong trend","medium AR","gls",0.000289041460708576
"428",12,"p","30","strong trend","no AR","gls",1.64977710482296e-08
"429",12,"p","30","strong trend","strong AR","gls",0.00221506097458236
"430",12,"p","30","weak trend","medium AR","gls",0.376070043263769
"431",12,"p","30","weak trend","no AR","gls",0.986518248873317
"432",12,"p","30","weak trend","strong AR","gls",0.490846217023698
"433",13,"p","10","medium trend","medium AR","gls",0.0491113167546348
"434",13,"p","10","medium trend","no AR","gls",0.476811069209107
"435",13,"p","10","medium trend","strong AR","gls",1.56131893777005e-05
"436",13,"p","10","no trend","medium AR","gls",0.314186168275436
"437",13,"p","10","no trend","no AR","gls",0.867270076379593
"438",13,"p","10","no trend","strong AR","gls",2.23765150884515e-06
"439",13,"p","10","strong trend","medium AR","gls",0.00104201010896685
"440",13,"p","10","strong trend","no AR","gls",0.0985880508253706
"441",13,"p","10","strong trend","strong AR","gls",0.00145436249319825
"442",13,"p","10","weak trend","medium AR","gls",0.276463836927617
"443",13,"p","10","weak trend","no AR","gls",0.833392545861859
"444",13,"p","10","weak trend","strong AR","gls",2.58030520769979e-06
"445",13,"p","20","medium trend","medium AR","gls",0.0217318661695674
